customer_id,review_text,sentiment
1,very disappointed with the quality.,negative
2,fast delivery and great packaging.,positive
3,very disappointed with the quality.,negative
4,product stopped working after few days.,negative
5,neutral about the quality.,neutral
6,"amazing experience, highly recommend!",positive
7,great value for money.,positive
8,excellent product! exceeded expectations.,positive
9,"product is okay, nothing special.",neutral
10,great value for money.,positive
11,not worth the price.,negative
12,very disappointed with the quality.,negative
13,"amazing experience, highly recommend!",positive
14,"amazing experience, highly recommend!",positive
15,customer service was unhelpful.,negative
16,product stopped working after few days.,negative
17,late delivery and poor packaging.,negative
18,neutral about the quality.,neutral
19,excellent product! exceeded expectations.,positive
20,late delivery and poor packaging.,negative
21,"amazing experience, highly recommend!",positive
22,excellent product! exceeded expectations.,positive
23,"amazing experience, highly recommend!",positive
24,customer service was unhelpful.,negative
25,very disappointed with the quality.,negative
26,"amazing experience, highly recommend!",positive
27,average experience overall.,neutral
28,product stopped working after few days.,negative
29,works fine but could be better.,neutral
30,fast delivery and great packaging.,positive
31,great value for money.,positive
32,"amazing experience, highly recommend!",positive
33,fast delivery and great packaging.,positive
34,product stopped working after few days.,negative
35,works fine but could be better.,neutral
36,neutral about the quality.,neutral
37,"amazing experience, highly recommend!",positive
38,customer service was unhelpful.,negative
39,not worth the price.,negative
40,product stopped working after few days.,negative
41,not worth the price.,negative
42,"amazing experience, highly recommend!",positive
43,works fine but could be better.,neutral
44,fast delivery and great packaging.,positive
45,not worth the price.,negative
46,excellent product! exceeded expectations.,positive
47,excellent product! exceeded expectations.,positive
48,"amazing experience, highly recommend!",positive
49,average experience overall.,neutral
50,fast delivery and great packaging.,positive
51,"amazing experience, highly recommend!",positive
52,product stopped working after few days.,negative
53,late delivery and poor packaging.,negative
54,fast delivery and great packaging.,positive
55,excellent product! exceeded expectations.,positive
56,"amazing experience, highly recommend!",positive
57,very satisfied with the quality.,positive
58,"product is okay, nothing special.",neutral
59,product stopped working after few days.,negative
60,excellent product! exceeded expectations.,positive
61,"product is okay, nothing special.",neutral
